Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,B365>2.5,B365<2.5
D1,22/02/2020,14:30,Hertha,FC Koln,0,5,1.8,2
D1,22/02/2020,14:30,M'gladbach,Hoffenheim,1,1,1.44,2.75
D1,22/02/2020,14:30,Werder Bremen,Dortmund,0,2,1.33,3.4
D1,22/02/2020,17:30,Schalke 04,RB Leipzig,0,5,1.61,2.3
D1,23/02/2020,14:30,Leverkusen,Augsburg,2,0,1.44,2.75
D1,23/02/2020,17:00,Wolfsburg,Mainz,4,0,1.66,2.2
D1,24/02/2020,19:30,Ein Frankfurt,Union Berlin,1,2,1.72,2.1
D1,28/02/2020,19:30,Fortuna Dusseldorf,Hertha,3,3,1.9,1.9
D1,29/02/2020,14:30,Augsburg,M'gladbach,2,3,1.57,2.37
D1,29/02/2020,14:30,Dortmund,Freiburg,1,0,1.3,3.5
D1,29/02/2020,14:30,Hoffenheim,Bayern Munich,0,6,1.33,3.4
D1,29/02/2020,14:30,Mainz,Paderborn,2,0,1.5,2.62
D1,29/02/2020,17:30,FC Koln,Schalke 04,3,0,1.8,2
D1,1/03/2020,12:30,Union Berlin,Wolfsburg,2,2,2.1,1.72
D1,1/03/2020,14:30,RB Leipzig,Leverkusen,1,1,1.44,2.75
D1,6/03/2020,19:00,Paderborn,FC Koln,1,2,1.53,2.5
D1,7/03/2020,14:30,Freiburg,Union Berlin,3,1,1.9,1.9
D1,7/03/2020,14:30,Hertha,Werder Bremen,2,2,1.9,1.9
D1,7/03/2020,14:30,Leverkusen,Ein Frankfurt,4,0,1.53,2.5
D1,7/03/2020,14:30,Schalke 04,Hoffenheim,1,1,1.66,2.2
D1,7/03/2020,14:30,Wolfsburg,RB Leipzig,0,0,1.66,2.2
D1,7/03/2020,17:30,M'gladbach,Dortmund,1,2,1.53,2.5
D1,8/03/2020,14:30,Bayern Munich,Augsburg,2,0,1.2,4.5
D1,8/03/2020,17:00,Mainz,Fortuna Dusseldorf,1,1,1.57,2.37
D1,11/03/2020,17:30,M'gladbach,FC Koln,2,1,1.5,2.62
D1,16/05/2020,14:30,Augsburg,Wolfsburg,1,2,1.9,1.9
D1,16/05/2020,14:30,Dortmund,Schalke 04,4,0,1.66,2.2
D1,16/05/2020,14:30,Fortuna Dusseldorf,Paderborn,0,0,1.72,2.1
D1,16/05/2020,14:30,Hoffenheim,Hertha,0,3,1.72,2.1
D1,16/05/2020,14:30,RB Leipzig,Freiburg,1,1,1.57,2.37
D1,16/05/2020,17:30,Ein Frankfurt,M'gladbach,1,3,1.72,2.1
D1,17/05/2020,14:30,FC Koln,Mainz,2,2,1.66,2.2
D1,17/05/2020,17:00,Union Berlin,Bayern Munich,0,2,1.44,2.75
D1,18/05/2020,19:30,Werder Bremen,Leverkusen,1,4,1.66,2.2
D1,22/05/2020,19:30,Hertha,Union Berlin,4,0,1.9,1.9
D1,23/05/2020,14:30,Freiburg,Werder Bremen,0,1,1.72,2.1
D1,23/05/2020,14:30,M'gladbach,Leverkusen,1,3,1.5,2.62
D1,23/05/2020,14:30,Paderborn,Hoffenheim,1,1,1.57,2.37
D1,23/05/2020,14:30,Wolfsburg,Dortmund,0,2,1.66,2.2
D1,23/05/2020,17:30,Bayern Munich,Ein Frankfurt,5,2,1.25,4
D1,24/05/2020,12:30,Schalke 04,Augsburg,0,3,1.9,1.9
D1,24/05/2020,14:30,Mainz,RB Leipzig,0,5,1.44,2.75
D1,24/05/2020,17:00,FC Koln,Fortuna Dusseldorf,2,2,1.66,2.2
D1,26/05/2020,17:30,Dortmund,Bayern Munich,0,1,1.36,3.2
D1,26/05/2020,19:30,Ein Frankfurt,Freiburg,3,3,1.9,1.9
D1,26/05/2020,19:30,Leverkusen,Wolfsburg,1,4,1.57,2.37
D1,26/05/2020,19:30,Werder Bremen,M'gladbach,0,0,1.57,2.37
D1,27/05/2020,17:30,RB Leipzig,Hertha,2,2,1.4,3
D1,27/05/2020,19:30,Augsburg,Paderborn,0,0,1.8,2
D1,27/05/2020,19:30,Fortuna Dusseldorf,Schalke 04,2,1,1.9,1.9
D1,27/05/2020,19:30,Hoffenheim,FC Koln,3,1,1.53,2.5
D1,27/05/2020,19:30,Union Berlin,Mainz,1,1,1.8,2
D1,29/05/2020,19:30,Freiburg,Leverkusen,0,1,1.53,2.5
D1,30/05/2020,14:30,Hertha,Augsburg,2,0,1.72,2.1
D1,30/05/2020,14:30,Mainz,Hoffenheim,0,1,1.53,2.5
D1,30/05/2020,14:30,Schalke 04,Werder Bremen,0,1,1.9,1.9
D1,30/05/2020,14:30,Wolfsburg,Ein Frankfurt,1,2,1.66,2.2
D1,30/05/2020,17:30,Bayern Munich,Fortuna Dusseldorf,5,0,1.2,4.5
D1,31/05/2020,14:30,M'gladbach,Union Berlin,4,1,1.66,2.2
D1,31/05/2020,17:00,Paderborn,Dortmund,1,6,1.44,2.75
D1,1/06/2020,19:30,FC Koln,RB Leipzig,2,4,1.4,3
D1,3/06/2020,19:30,Werder Bremen,Ein Frankfurt,0,3,1.72,2.1
D1,5/06/2020,19:30,Freiburg,M'gladbach,1,0,1.61,2.3
D1,6/06/2020,14:30,Ein Frankfurt,Mainz,0,2,1.53,2.5
D1,6/06/2020,14:30,Fortuna Dusseldorf,Hoffenheim,2,2,1.66,2.2
D1,6/06/2020,14:30,Leverkusen,Bayern Munich,2,4,1.3,3.5
D1,6/06/2020,14:30,RB Leipzig,Paderborn,1,1,1.25,4
D1,6/06/2020,17:30,Dortmund,Hertha,1,0,1.36,3.2
D1,7/06/2020,12:30,Werder Bremen,Wolfsburg,0,1,1.9,1.9
D1,7/06/2020,14:30,Union Berlin,Schalke 04,1,1,2.1,1.72
D1,7/06/2020,17:00,Augsburg,FC Koln,1,1,1.72,2.1
D1,12/06/2020,19:30,Hoffenheim,RB Leipzig,0,2,1.36,3.2
D1,13/06/2020,14:30,FC Koln,Union Berlin,1,2,1.72,2.1
D1,13/06/2020,14:30,Fortuna Dusseldorf,Dortmund,0,1,1.44,2.75
D1,13/06/2020,14:30,Hertha,Ein Frankfurt,1,4,1.61,2.3
D1,13/06/2020,14:30,Paderborn,Werder Bremen,1,5,1.72,2.1
D1,13/06/2020,14:30,Wolfsburg,Freiburg,2,2,1.72,2.1
D1,13/06/2020,17:30,Bayern Munich,M'gladbach,2,1,1.36,3.2
D1,14/06/2020,14:30,Mainz,Augsburg,0,1,1.9,1.9
D1,14/06/2020,17:00,Schalke 04,Leverkusen,1,1,1.72,2.1
D1,16/06/2020,17:30,M'gladbach,Wolfsburg,3,0,1.57,2.37
D1,16/06/2020,19:30,Freiburg,Hertha,2,1,1.72,2.1
D1,16/06/2020,19:30,Union Berlin,Paderborn,1,0,1.72,2.1
D1,16/06/2020,19:30,Werder Bremen,Bayern Munich,0,1,1.33,3.4
D1,17/06/2020,17:30,Ein Frankfurt,Schalke 04,2,1,1.66,2.2
D1,17/06/2020,19:30,Augsburg,Hoffenheim,1,3,1.61,2.3
D1,17/06/2020,19:30,Dortmund,Mainz,0,2,1.36,3.2
D1,17/06/2020,19:30,Leverkusen,FC Koln,3,1,1.44,2.75
D1,17/06/2020,19:30,RB Leipzig,Fortuna Dusseldorf,2,2,1.36,3.2
D1,20/06/2020,14:30,Bayern Munich,Freiburg,3,1,1.33,3.4
D1,20/06/2020,14:30,FC Koln,Ein Frankfurt,1,1,1.53,2.5
D1,20/06/2020,14:30,Fortuna Dusseldorf,Augsburg,1,1,1.9,1.9
D1,20/06/2020,14:30,Hertha,Leverkusen,2,0,1.53,2.5
D1,20/06/2020,14:30,Hoffenheim,Union Berlin,4,0,1.57,2.37
D1,20/06/2020,14:30,Mainz,Werder Bremen,3,1,1.72,2.1
D1,20/06/2020,14:30,Paderborn,M'gladbach,1,3,1.33,3.4
D1,20/06/2020,14:30,RB Leipzig,Dortmund,0,2,1.57,2.37
D1,20/06/2020,14:30,Schalke 04,Wolfsburg,1,4,1.72,2.1
D1,27/06/2020,14:30,Augsburg,RB Leipzig,1,2,1.36,3.2
D1,27/06/2020,14:30,Dortmund,Hoffenheim,0,4,1.33,3.4
D1,27/06/2020,14:30,Ein Frankfurt,Paderborn,3,2,1.28,3.75
D1,27/06/2020,14:30,Freiburg,Schalke 04,4,0,1.57,2.37
D1,27/06/2020,14:30,Leverkusen,Mainz,1,0,1.3,3.5
D1,27/06/2020,14:30,M'gladbach,Hertha,2,1,1.36,3.2
D1,27/06/2020,14:30,Union Berlin,Fortuna Dusseldorf,3,0,1.72,2.1
D1,27/06/2020,14:30,Werder Bremen,FC Koln,6,1,1.4,3
D1,27/06/2020,14:30,Wolfsburg,Bayern Munich,0,4,1.33,3.4
D1,13/08/2021,19:30,M'gladbach,Bayern Munich,1,1,1.4,3
D1,14/08/2021,14:30,Augsburg,Hoffenheim,0,4,1.61,2.3
D1,14/08/2021,14:30,Bielefeld,Freiburg,0,0,2.05,1.88
D1,14/08/2021,14:30,Stuttgart,Greuther Furth,5,1,1.61,2.3
D1,14/08/2021,14:30,Union Berlin,Leverkusen,1,1,1.9,1.9
D1,14/08/2021,14:30,Wolfsburg,Bochum,1,0,1.57,2.37
D1,14/08/2021,17:30,Dortmund,Ein Frankfurt,5,2,1.36,3.2
D1,15/08/2021,14:30,Mainz,RB Leipzig,1,0,1.53,2.5
D1,15/08/2021,16:30,FC Koln,Hertha,3,1,2,1.93
D1,20/08/2021,19:30,RB Leipzig,Stuttgart,4,0,1.53,2.5
D1,21/08/2021,14:30,Bochum,Mainz,2,0,1.8,2
D1,21/08/2021,14:30,Ein Frankfurt,Augsburg,0,0,1.53,2.5
D1,21/08/2021,14:30,Freiburg,Dortmund,2,1,1.5,2.62
D1,21/08/2021,14:30,Greuther Furth,Bielefeld,1,1,2,1.8
D1,21/08/2021,14:30,Hertha,Wolfsburg,1,2,1.8,2
D1,21/08/2021,17:30,Leverkusen,M'gladbach,4,0,1.57,2.37
D1,22/08/2021,14:30,Hoffenheim,Union Berlin,2,2,1.72,2.1
D1,22/08/2021,16:30,Bayern Munich,FC Koln,3,2,1.28,3.75
D1,27/08/2021,19:30,Dortmund,Hoffenheim,3,2,1.3,3.5
D1,28/08/2021,14:30,Augsburg,Leverkusen,1,4,1.8,2
D1,28/08/2021,14:30,Bielefeld,Ein Frankfurt,1,1,1.8,2
